Name,StreetName,Highway,Width,Points
Road_0000,,motorway,14,-135284:-37716.3|-137659.2:-45051.2
Road_0001,,trunk_link,7,2916.4:157034.7|1992.4:158607.6|1505.9:160020.3|1084.5:161582.1|562.2:163758.4|43.5:165554|-824.4:168210.1|-1751.9:171299.2|-3855.8:179315.4
Road_0002,,trunk,12,-40472.4:160549|-37915:165228.9|-36292.7:168219|-31623.7:175431.4
Road_0003,,trunk_link,7,-29111.9:179233|-28317.6:181473.9|-27751.8:183393|-27432.1:184704.4|-27237.3:185859.9|-27170:186731.5|-27188.9:187417.2|-27266:188365.7|-27458.8:189346.4|-27760.9:190409.5|-28152.8:191477.1|-28735.4:192788.4|-29533.9:194439.3|-30332.4:196065.7|-31198.9:197729.9|-31952.5:199261.7
Road_0004,,trunk_link,7,-21857.4:188804.3|-21283.9:189915.3|-20686.6:191634|-20262.5:192860.8|-20001.7:194086.4|-19927.4:195054.9|-19929.5:195737.3|-20034:196425.3|-20166.4:197094.3|-20401.3:198001.5|-20927.8:199801.6|-21117.1:200581.9|-21270.6:201372.3|-21328.8:202153.8|-21368.1:202867.3|-21337.2:203900.4|-21178.8:204861.1|-19120.5:216461.7|-18566.7:218674.8|-18487.4:219161.2|-18406.8:219671.1|-18304.5:220187.6
Road_0005,Holbeinstrae,residential,6,83843:88602.9|95263.8:88527.2|102092.7:88502.7|107324:88483.8|114343.6:88459.3|114908.7:88457.1
Road_0006,Viersener Strae,residential,6,94536.8:44667.1|101305.5:43174.3
Road_0007,Merheimer Strae,tertiary,8,82934.4:129379.4|82924.6:127130.8|82910.6:125344.1
Road_0008,Neusser Strae,secondary,9,111248.5:49106.6|111358.5:49872.5|111426.5:50345.6|111468.6:50638.4|111813.5:53036.2
Road_0009,Krefelder Strae,tertiary,8,92637.7:160601.4|93045:161467.4|93237.8:161879.3|95214:166083.9|95775.6:167271.7|96023.7:168219|96146.4:168685.4|96267.7:169285.4|96407.2:169974.5|96618.2:171458.4|97617.9:175595.1|98983.6:181175.5|100125.6:185485.8|101096.5:189183.9|101188.4:189570.2|101638.5:191244.4|101953.2:192437.8
Road_0010,Gutenbergstrae,residential,6,-73314.6:186006.8|-72990.7:185554.9|-68067.2:178692|-64690.9:173960.9|-58248.3:165039.7|-58117.9:164582.2|-58098.9:164189.2
Road_0011,Herkulesstrae,residential,6,-54303.5:140106.2|-53761.5:140727.4|-49131.8:148610|-44572.2:155432.8|-44132.6:156364.5|-43811.5:156907.8
Road_0012,Peter-Bauer-Strae,residential,6,-67066.8:189927.5|-66690.3:189319.7|-64414:186277.3|-64239.5:186011.3|-62400.6:183416.4|-61686.9:182403.4|-61358.1:181925.8|-58727.1:178217.8|-57397.2:176385.4|-56882.6:175542.7
Road_0013,Hermann-Kolb-Strae,residential,6,-56882.6:175542.7|-54402.3:178928|-52880.3:180718|-51457.2:182391.1|-50215.6:183887.3
Road_0014,Katharina-Henot-Strae,residential,6,-51460.7:171752.3|-50200.9:173157.1|-46170.6:178182.1
